"","geneid","distance"
"1","0003",90
"2","0215",85
"3","0255",127
"4","0256",44
"5","0329",0
"6","0439",52
"7","0440",42
"8","0462",102
"9","0502",0
"10","0506",141
"11","0528",102
"12","0557",70
"13","0558",137
"14","0611",13
"15","0642",149
"16","0651",288
"17","0680",221
"18","0720",38
"19","0812",148
"20","0857",40
"21","0905",57
"22","0926",0
"23","0959",203
"24","1006",123
"25","1023",0
"26","1210",0
"27","1240",56
"28","1248",223
"29","1249",42
"30","1269",0
"31","1271",43
"32","1306",19
"33","1309",71
"34","1312",0
"35","1313",99
"36","1374",178
"37","1376",151
"38","1427",208
"39","1428",184
"40","1440",87
"41","1502",2
"42","1700",56
"43","1701",56
"44","1722",180
"45","1777",0
"46","1779",10
"47","1799",93
"48","1903",82
"49","1909",0
"50","1953",17
"51","2165",30
"52","2177",78
"53","2211",100
"54","2212",103
"55","2226",34
"56","2260",39
"57","2280",11
"58","2285",15
"59","2286",246
"60","2296",40
"61","2303",95
"62","2348",26
"63","2376",45
"64","2464",0
"65","2472",70
"66","2473",0
"67","2491",0
"68","2492",43
"69","2494",0
"70","2502",0
"71","2517",103
"72","2530",0
"73","2575",29
"74","2586",0
"75","2595",71
"76","2605",0
"77","2630",24
"78","2640",0
"79","2659",140
"80","2671",94
"81","2681",154
"82","2686",39
"83","2776",95
"84","2784",100
"85","2822",23
"86","2888",0
"87","2890",0
"88","2901",118
"89","2917",0
"90","2918",0
"91","2919",79
"92","2931",14
"93","2944",0
"94","2949",96
"95","2964",0
"96","2974",616
"97","2975",0
"98","3021",113
"99","3027",51
"100","3067",0
"101","3068",286
"102","3070",15
"103","3089",40
"104","3116",32
"105","3144",167
"106","3171",71
"107","3194",0
"108","3208",12
"109","3221",234
"110","3222",218
"111","3224",0
"112","3225",69
"113","3226",75
"114","3244",0
"115","3265",31
"116","3269",28
"117","3292",21
"118","3293",73
"119","3296",157
"120","3297",0
"121","3327",91
"122","3331",121
"123","3375",107
"124","3385",0
"125","3408",57
"126","3424",0
"127","3428",16
"128","3463",127
"129","3464",132
"130","3493",0
"131","3494",115
"132","3495",19
"133","3556",123
"134","3559",0
"135","3563",0
"136","3567",68
"137","3568",121
"138","3588",76
"139","3676",160
"140","3704",0
"141","3722",0
"142","3725",76
"143","3734",139
"144","3746",126
"145","3751",115
"146","3766",54
"147","3771",34
"148","3797",18
"149","3807",18
"150","3816",0
"151","3832",4
"152","3862",169
"153","3873",72
"154","3915",0
"155","3940",58
"156","3941",26
"157","3942",30
"158","3951",87
"159","3973",94
"160","3979",126
"161","3989",159
"162","3990",71
"163","4010",0
"164","4048",0
"165","4069",8
"166","4116",52
"167","4150",0
"168","4164",350
"169","4182",19
"170","4187",59
"171","4199",0
"172","4257",119
"173","4264",169
"174","4298",9
"175","4332",43
"176","4413",48
"177","4417",0
"178","4452",169
"179","4494",56
"180","4520",0
"181","4522",93
"182","4536",94
"183","4547",114
"184","4569",50
"185","4582",28
"186","4592",133
"187","4629",20
"188","4630",0
"189","4632",148
"190","4634",49
"191","4635",46
"192","4651",97
"193","4730",0
"194","4749",91
"195","4759",222
"196","4783",231
"197","4792",80
"198","4820",46
"199","4881",40
"200","4906",59
"201","4927",22
"202","4928",0
"203","4936",0
"204","4950",188
"205","4957",52
"206","4998",57
"207","5002",17
"208","5017",125
"209","5034",45
"210","5046",0
"211","5071",101
"212","5075",33
"213","5076",26
"214","5092",56
"215","5106",93
"216","5117",86
"217","5127",11
"218","5130",51
"219","5133",117
"220","5188",90
"221","5234",4
"222","5239",67
"223","5249",0
"224","5447",47
"225","5448",51
"226","5456",32
"227","5497",61
"228","5514",101
"229","5515",101
"230","5525",0
"231","5532",23
"232","5535",176
"233","5537",159
"234","5636",7
"235","5666",0
"236","5726",4
"237","5734",0
"238","5757",61
"239","5764",122
"240","5768",21
"241","5769",46
"242","5815",0
"243","5817",11
"244","5828",119
"245","5853",131
"246","5963",57
"247","5968",62
"248","5969",0
"249","5973",217
"250","5974",95
"251","5975",52
"252","5979",0
"253","6200",203
"254","6217",0
"255","6219",30
"256","6224",84
"257","6230",137
"258","6247",38
"259","6310",118
"260","6457",246
"261","6458",273
"262","6468",0
"263","6732",0
"264","6736",69
"265","6893",48
"266","6898",93
"267","6905",227
"268","6906",234
"269","7110",136
"270","7235",244
"271","7238",53
"272","7324",0
"273","7325",112
"274","7427",31
"275","7440",23
"276","7448",0
"277","7449",48
"278","7450",0
"279","7454",112
"280","r10",36
"281","r12",231
"282","r14",0
"283","r15",0
"284","r16",0
"285","r17",0
"286","r18",32
"287","r20",0
"288","r3",192
"289","r7",28
"290","r8",0
"291","r9",0
"292","t53",0
"293","t54",0
