geneid,Log2FC,Lsr2_bound,ClusterID
1,2.553309299,Not Bound,NA
164,2.40599236,Not Bound,NA
223,2.991779493,Not Bound,Ectoine
255,2.113996771,Bound,NA
256,2.300394933,Bound,NA
293,2.736965594,Not Bound,Terpene1
310,3.75234082,Not Bound,NA
311,3.978626349,Not Bound,NA
338,2.584962501,Not Bound,NA
415,2.624490865,Not Bound,NA
440,-2.526859546,Bound,NA
459,2.521768674,Not Bound,NA
462,2.415037499,Bound,NA
483,NA,Not Bound,T1PKS-T3PKS-NRPS
485,3.510961919,Not Bound,T1PKS-T3PKS-NRPS
486,3.554588852,Not Bound,T1PKS-T3PKS-NRPS
487,8.330916878,Not Bound,T1PKS-T3PKS-NRPS
488,7.768184325,Not Bound,T1PKS-T3PKS-NRPS
489,NA,Not Bound,T1PKS-T3PKS-NRPS
491,5.115477217,Not Bound,T1PKS-T3PKS-NRPS
492,NA,Not Bound,T1PKS-T3PKS-NRPS
493,5.972182056,Not Bound,T1PKS-T3PKS-NRPS
494,6.87282876,Not Bound,T1PKS-T3PKS-NRPS
495,6.74819285,Not Bound,T1PKS-T3PKS-NRPS
496,6.636624621,Not Bound,T1PKS-T3PKS-NRPS
497,7.159871337,Not Bound,T1PKS-T3PKS-NRPS
502,2.165337732,Bound,T1PKS-T3PKS-NRPS
503,NA,Not Bound,T1PKS-T3PKS-NRPS
504,6.266786541,Not Bound,T1PKS-T3PKS-NRPS
505,3.717676423,Not Bound,T1PKS-T3PKS-NRPS
506,3.572251449,Bound,T1PKS-T3PKS-NRPS
507,NA,Not Bound,T1PKS-T3PKS-NRPS
508,3.36923381,Not Bound,T1PKS-T3PKS-NRPS
510,4.263034406,Not Bound,T1PKS-T3PKS-NRPS
511,4.375039431,Not Bound,T1PKS-T3PKS-NRPS
512,5.459431619,Not Bound,T1PKS-T3PKS-NRPS
513,6.398031074,Not Bound,T1PKS-T3PKS-NRPS
514,5.971543554,Not Bound,T1PKS-T3PKS-NRPS
515,7.479780264,Not Bound,T1PKS-T3PKS-NRPS
516,5.754887502,Not Bound,T1PKS-T3PKS-NRPS
517,NA,Not Bound,T1PKS-T3PKS-NRPS
611,3.977279923,Bound,NA
612,3.360747344,Not Bound,Lantipeptide(venezuelin)
613,3.754887502,Not Bound,Lantipeptide(venezuelin)
614,2.745735804,Not Bound,Lantipeptide(venezuelin)
621,-2.95419631,Not Bound,Lantipeptide(venezuelin)
662,-4.137503524,Not Bound,NA
663,-2.662965013,Not Bound,NA
665,-3.415037499,Not Bound,NA
671,-2.637429921,Not Bound,NA
718,3.263034406,Not Bound,NA
730,4.227068909,Not Bound,NA
745,3.807354922,Not Bound,NA
812,4.807354922,Bound,NA
829,2.994606741,Not Bound,NA
837,3.169925001,Not Bound,NA
843,2.115477217,Not Bound,NA
868,2.201633861,Not Bound,NA
882,2.280107919,Not Bound,NA
914,3.206450877,Not Bound,Chloramphenicol
915,3.499845887,Not Bound,Chloramphenicol
917,3.136758138,Not Bound,Chloramphenicol
